tribe,superorder,order,family,species,telecephalon,medulla,brain.mass,body.mass,reproductive.mode,habitat,depth
Batoids,Batoidea,Rajiformes,Rajidae,Dipturus_innominatus,0.296916893,0.263803192,0.8750375,1499.333333,Lecithotrophic,Deep,662.5
Sharks,Galeomorpha,Carcharhiniformes,Carcharhinidae,Triaenodon_obesus,8.73,1.99,15.36,16300,Matrotrophic,Reef,50
Sharks,Galeomorpha,Carcharhiniformes,Scyliorhinidae,Figaro_boardmani,0.33,0.2,0.869772222,200,Lecithotrophic,Deep,475.5
Sharks,Galeomorpha,Carcharhiniformes,Carcharhinidae,Rhizoprionodon_taylori,1.566,0.866,3.649,1426.11,Matrotrophic,Pelagic,50
Chimaeras,Holocephali,Chimaeriformes,Rhinochimaeridae,Rhinochimaera_pacifica,0.414591288,1.065254853,2.251854365,2975,Lecithotrophic,Deep,1025
Batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus_typus,6.454,2.066,13.6265,11720,Matrotrophic,Reef,50
Sharks,Galeomorpha,Orectolobiformes,Hemiscyllidae,Chiloscyllium_punctatum,1.06,0.32,2.160222222,700,Lecithotrophic,Reef,42.5
Batoids,Batoidea,Myliobatiformes,Urotrygonidae,Urobatis_halleri,1.23,0.529,2.705,316.44,Matrotrophic,Shelf,7.5
Sharks,Galeomorpha,Carcharhiniformes,Carcharhinidae,Carcharhinus_amblyrhynchos,22.66,3.41,35.2804,25540,Matrotrophic,Reef,25
Sharks,Squalimorpha,Hexanchiformes,Hexanchidae,Notorynchus_cepedianus,1.784254654,1.83878007,5.695116167,22171.33333,Lecithotrophic,Shelf,23
Sharks,Galeomorpha,Lamniformes,Pseudocarchariidae,Pseudocarcharias_kamoharai,1.59,1.13,4.8,3900,Matrotrophic,Pelagic,150
Sharks,Squalimorpha,Squaliformes,Squalidae,Squalus_megalops,0.612567137,0.627355075,2.2427883,423.8,Lecithotrophic,Deep,391
Sharks,Galeomorpha,Lamniformes,Lamnidae,Isurus_oxyrinchus,9.646582682,6.073837637,25.588,186533.3333,Matrotrophic,Pelagic,76
Chimaeras,Holocephali,Chimaeriformes,Chimaeridae,Chimaera_lignaria,3.197680472,1.763418486,7.24439963,14400,Lecithotrophic,Deep,1300
Sharks,Galeomorpha,Carcharhiniformes,Carcharhinidae,Carcharhinus_sorrah,2.734666667,0.721666667,4.6937,833.333,Matrotrophic,Reef,35
Sharks,Galeomorpha,Carcharhiniformes,Carcharhinidae,Rhizoprionodon_taylori,1.566,0.866,3.649,1426.11,Matrotrophic,Pelagic,50
Sharks,Galeomorpha,Lamniformes,Odontaspidae,Carcharias_taurus,4.357,3.315,14.254,152400,Matrotrophic,Reef,95.5
Chimaeras,Holocephali,Chimaeriformes,Rhinochimaeridae,Harriotta_raleighana,0.514424608,1.505066381,3.07022863,2205,Lecithotrophic,Deep,800
Sharks,Galeomorpha,Lamniformes,Alopiidae,Alopias_vulpinus,3.027943964,2.778338524,11.3966,7050.5,Matrotrophic,Pelagic,183
Sharks,Galeomorpha,Carcharhiniformes,Carcharhinidae,Negaprion_acutidens,5.07,2.11,10.07,1740,Matrotrophic,Reef,15
Batoids,Batoidea,Rajiformes,Rajidae,Dentiraja_lemprieri,0.481154594,0.393530698,1.405812383,491.9333333,Lecithotrophic,Shelf,20
Batoids,Batoidea,Rajiformes,Rajidae,Dipturus_innominatus,0.296916893,0.263803192,0.8750375,1499.333333,Lecithotrophic,Deep,662.5
Sharks,Galeomorpha,Carcharhiniformes,Pseudotriakidae,Gollum_attenuatus,1.003458057,0.85687181,2.78195,1045,Matrotrophic,Deep,319.5
Sharks,Galeomorpha,Orectolobiformes,Brachaeluridae,Brachaelurus_waddi,0.580395639,0.371582463,1.39284,690,Lecithotrophic,Reef,55
Batoids,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis_tenuicaudatus,2.587919925,0.791786923,5.090285879,626.3333333,Matrotrophic,Shelf,15
Batoids,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis_tenuicaudatus,2.587919925,0.791786923,5.090285879,626.3333333,Matrotrophic,Shelf,15
Sharks,Galeomorpha,Carcharhiniformes,Sphyrnidae,Sphyrna_zygaena,19.05730002,3.159893132,32.8005,10320,Matrotrophic,Pelagic,35
Sharks,Galeomorpha,Carcharhiniformes,Carcharhinidae,Scoliodon_laticaudus,0.742,0.5425,2.043,746.15,Matrotrophic,Shelf,5
Batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_thetidis,15.75661591,4.804630881,29.474561,21000,Matrotrophic,Pelagic,10
Batoids,Batoidea,Myliobatiformes,Dasyatidae,Taeniura_lymma,3.234771974,0.707276741,5.68,360,Matrotrophic,Reef,16
Batoids,Batoidea,Rajiformes,Rajidae,Dipturus_polyommata,0.5312,0.4648,1.6102,220,Lecithotrophic,Deep,227.5
Sharks,Squalimorpha,Squaliformes,Somniosidae,Proscymnodon_plunketi,1.017916522,1.47419577,4.1988,6512.5,Matrotrophic,Deep,823
Sharks,Squalimorpha,Squaliformes,Centrophoridae,Centrophorus_harrissoni,0.723,0.811,2.695,1163,Lecithotrophic,Deep,575
Batoids,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis_freminvillei,5.5692,2.2848,12.7092,5430,Matrotrophic,Shelf,10
Sharks,Galeomorpha,Carcharhiniformes,Triakidae,Triakis_semifasciata,1.086,0.737,3.151,1194,Lecithotrophic,Shelf,47.5
